% Flood Neural Network. Brachistochrone problem results data file.
% Column data:
%  1 - Independent variable (x)
%  2 - Dependent variable (y)

0 1
0.01 1.01712
0.02 1.03379
0.03 1.05002
0.04 1.0658
0.05 1.08113
0.06 1.09602
0.07 1.11045
0.08 1.12444
0.09 1.13796
0.1 1.15104
0.11 1.16365
0.12 1.17581
0.13 1.1875
0.14 1.19873
0.15 1.2095
0.16 1.2198
0.17 1.22963
0.18 1.23899
0.19 1.24788
0.2 1.25629
0.21 1.26423
0.22 1.27169
0.23 1.27867
0.24 1.28516
0.25 1.29117
0.26 1.29669
0.27 1.30172
0.28 1.30626
0.29 1.3103
0.3 1.31385
0.31 1.31689
0.32 1.31943
0.33 1.32146
0.34 1.32298
0.35 1.32399
0.36 1.32448
0.37 1.32445
0.38 1.3239
0.39 1.32282
0.4 1.3212
0.41 1.31906
0.42 1.31637
0.43 1.31314
0.44 1.30935
0.45 1.30502
0.46 1.30013
0.47 1.29468
0.48 1.28866
0.49 1.28206
0.5 1.27489
0.51 1.26713
0.52 1.25879
0.53 1.24985
0.54 1.2403
0.55 1.23015
0.56 1.21939
0.57 1.208
0.58 1.19599
0.59 1.18334
0.6 1.17004
0.61 1.1561
0.62 1.1415
0.63 1.12624
0.64 1.11029
0.65 1.09367
0.66 1.07636
0.67 1.05834
0.68 1.03962
0.69 1.02018
0.7 1.00001
0.71 0.979098
0.72 0.957442
0.73 0.935028
0.74 0.911845
0.75 0.887883
0.76 0.86313
0.77 0.837576
0.78 0.811209
0.79 0.784018
0.8 0.755991
0.81 0.727115
0.82 0.697379
0.83 0.66677
0.84 0.635276
0.85 0.602884
0.86 0.56958
0.87 0.535352
0.88 0.500187
0.89 0.46407
0.9 0.426988
0.91 0.388927
0.92 0.349874
0.93 0.309814
0.94 0.268733
0.95 0.226617
0.96 0.183451
0.97 0.139221
0.98 0.0939126
0.99 0.0475104
1 0
