% Flood Neural Network. Precipitate Dissolution Model Data File.
% Network architecture: 1:3 :1
% Effective activation energy: 161.082

% Column data: 
% 1. Experimental X
% 2. Experimental Y
-10.367 0.0108324
-9.84102 0
-9.36688 0.0108324
-8.84102 0.0108324
-8.36689 0
-7.84102 0.0108324
-7.36689 0.10569
-6.84102 0.211379
-6.36689 0.200535
-8.66735 0.0216766
-8.14142 0.0216766
-7.66728 0.0921402
-7.14142 0.127366
-6.66728 0.200535
-6.14142 0.317069
-5.66728 0.398365
-5.14142 0.563685
-4.66728 0.739839
-7.25562 0.108395
-6.73835 0.224928
-6.25559 0.344167
-5.73835 0.471545
-5.25559 0.541997
-4.73835 0.67208
-4.26421 0.826557
-3.73835 0.964767
-3.25559 0.989161
-6.0777 0.249322
-5.56043 0.485095
-5.07767 0.636854
-4.56043 0.766937
-4.07767 0.826557
-3.56043 0.94309
-3.07767 0.967484
-2.56043 0.991866
-2.07767 0.991866
-5.08336 0.352295
-4.5575 0.715445
-4.08336 0.859077
-3.5575 0.929539
-3.08336 0.940378
-2.5575 0.940378
-2.08336 0.948509
-1.5575 0.986449
-1.08336 1

% Column data: 
% 1. Normalized time (log(t/t*))
% 2. Volumetric fraction (1-f/f0)
-10.367 0.0108324
-9.84102 0
-9.36688 0.0108324
-8.84102 0.0108324
-8.66735 0.0216766
-8.36689 0
-8.14142 0.0216766
-7.84102 0.0108324
-7.66728 0.0921402
-7.36689 0.10569
-7.25562 0.108395
-7.14142 0.127366
-6.84102 0.211379
-6.73835 0.224928
-6.66728 0.200535
-6.36689 0.200535
-6.25559 0.344167
-6.14142 0.317069
-6.0777 0.249322
-5.73835 0.471545
-5.66728 0.398365
-5.56043 0.485095
-5.25559 0.541997
-5.14142 0.563685
-5.08336 0.352295
-5.07767 0.636854
-4.73835 0.67208
-4.66728 0.739839
-4.56043 0.766937
-4.5575 0.715445
-4.26421 0.826557
-4.08336 0.859077
-4.07767 0.826557
-3.73835 0.964767
-3.56043 0.94309
-3.5575 0.929539
-3.25559 0.989161
-3.08336 0.940378
-3.07767 0.967484
-2.56043 0.991866
-2.5575 0.940378
-2.08336 0.948509
-2.07767 0.991866
-1.5575 0.986449
-1.08336 1
