% Flood Neural Network. Precipitate Dissolution Model Data File.
% Network architecture: 1:3 :1
% Effective activation energy: 161.082

% Column data: 
% 1. Normalized time data (log(t/t*))
% 2. Vickers hardness data
-10.367 151.014
-9.84102 151.935
-9.36688 151.014
-8.84102 151.014
-8.36689 151.935
-7.84102 151.014
-7.36689 142.949
-6.84102 133.963
-6.36689 134.885
-8.66735 150.092
-8.14142 150.092
-7.66728 144.101
-7.14142 141.106
-6.66728 134.885
-6.14142 124.977
-5.66728 118.065
-5.14142 104.009
-4.66728 89.032
-7.25562 142.719
-6.73835 132.811
-6.25559 122.673
-5.73835 111.843
-5.25559 105.853
-4.73835 94.793
-4.26421 81.659
-3.73835 69.908
-3.25559 67.834
-6.0777 130.737
-5.56043 110.691
-5.07767 97.788
-4.56043 86.728
-4.07767 81.659
-3.56043 71.751
-3.07767 69.677
-2.56043 67.604
-2.07767 67.604
-5.08336 121.982
-4.5575 91.106
-4.08336 78.894
-3.5575 72.9032
-3.08336 71.9816
-2.5575 71.9816
-2.08336 71.2903
-1.5575 68.0645
-1.08336 66.9124

% Column data: 
% 1. Sorted normalized time data (log(t/t*))
% 2. Sorted Vickers hardness model
-10.367 151.935
-9.84102 151.935
-9.36688 151.935
-8.84102 151.935
-8.66735 151.935
-8.36689 151.935
-8.14142 151.935
-7.84102 151.014
-7.66728 148.416
-7.36689 143.749
-7.25562 141.964
-7.14142 140.102
-6.84102 135.058
-6.73835 133.286
-6.66728 132.046
-6.36689 126.682
-6.25559 124.647
-6.14142 122.533
-6.0777 121.342
-5.73835 114.875
-5.66728 113.495
-5.56043 111.405
-5.25559 105.35
-5.14142 103.05
-5.08336 101.875
-5.07767 101.76
-4.73835 94.8179
-4.66728 93.3511
-4.56043 91.139
-4.5575 91.0782
-4.26421 84.9734
-4.08336 81.1938
-4.07767 81.0748
-3.73835 73.9772
-3.56043 70.2639
-3.5575 70.2027
-3.25559 66.9124
-3.08336 66.9124
-3.07767 66.9124
-2.56043 66.9124
-2.5575 66.9124
-2.08336 66.9124
-2.07767 66.9124
-1.5575 66.9124
-1.08336 66.9124
