% Flood Neural Network. Brachistochrone problem results data file.
% Column data:
%  1 - Independent variable (x)
%  2 - Dependent variable (y)

0 1
0.01 0.960591
0.02 0.92384
0.03 0.889614
0.04 0.857775
0.05 0.828181
0.06 0.800688
0.07 0.775151
0.08 0.751427
0.09 0.729374
0.1 0.708856
0.11 0.689738
0.12 0.671894
0.13 0.6552
0.14 0.639541
0.15 0.624808
0.16 0.610901
0.17 0.597725
0.18 0.585192
0.19 0.573224
0.2 0.561747
0.21 0.550695
0.22 0.54001
0.23 0.529639
0.24 0.519533
0.25 0.509651
0.26 0.499958
0.27 0.490421
0.28 0.481012
0.29 0.471709
0.3 0.462492
0.31 0.453343
0.32 0.44425
0.33 0.435202
0.34 0.42619
0.35 0.417207
0.36 0.408249
0.37 0.399313
0.38 0.390397
0.39 0.381501
0.4 0.372625
0.41 0.363771
0.42 0.354941
0.43 0.346137
0.44 0.337363
0.45 0.328622
0.46 0.319918
0.47 0.311256
0.48 0.30264
0.49 0.294074
0.5 0.285562
0.51 0.27711
0.52 0.268721
0.53 0.260401
0.54 0.252153
0.55 0.243982
0.56 0.235892
0.57 0.227887
0.58 0.219971
0.59 0.212148
0.6 0.204421
0.61 0.196794
0.62 0.18927
0.63 0.181853
0.64 0.174545
0.65 0.16735
0.66 0.160269
0.67 0.153306
0.68 0.146464
0.69 0.139743
0.7 0.133148
0.71 0.126678
0.72 0.120338
0.73 0.114128
0.74 0.10805
0.75 0.102106
0.76 0.0962969
0.77 0.0906246
0.78 0.0850902
0.79 0.0796949
0.8 0.07444
0.81 0.0693264
0.82 0.0643552
0.83 0.0595272
0.84 0.0548433
0.85 0.0503044
0.86 0.0459111
0.87 0.0416642
0.88 0.0375642
0.89 0.0336117
0.9 0.0298074
0.91 0.0261516
0.92 0.0226448
0.93 0.0192875
0.94 0.0160801
0.95 0.0130228
0.96 0.0101161
0.97 0.00736018
0.98 0.00475537
0.99 0.0023019
1 0
